method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
ga,114,48,3,45,6.25,9.3081,13.3412,9.0392,2545542.2910
ga,119,48,48,0,100.00,8.6024,8.6024,,3553145.8180
ga,150,240,240,0,100.00,14.9909,14.9909,,51235.3549
ga,200,240,240,0,100.00,27.1151,27.1151,,83596.5716
savings,1,5,5,0,100.00,0.0000,0.0000,,167.8002
savings,2,7,6,1,85.71,0.0000,0.0000,0.0000,347.5661
savings,3,2,2,0,100.00,0.0000,0.0000,,173.8995
savings,4,1,0,1,0.00,0.0000,,0.0000,
savings,5,5,5,0,100.00,0.0000,0.0000,,584.3272
savings,10,5,5,0,100.00,0.0000,0.0000,,1170.6019
savings,15,5,5,0,100.00,0.0001,0.0001,,2910.7940
savings,20,5,5,0,100.00,0.0002,0.0002,,3208.7107
savings,30,5,5,0,100.00,0.0002,0.0002,,4359.5647
savings,31,1,1,0,100.00,0.0002,0.0002,,10007.7497
savings,36,1,1,0,100.00,0.0002,0.0002,,9067.4340
savings,44,1,1,0,100.00,0.0002,0.0002,,12414.3291
savings,50,5,5,0,100.00,0.0016,0.0016,,13947.9203
savings,53,1,1,0,100.00,0.0006,0.0006,,16144.5133
savings,59,1,1,0,100.00,0.0002,0.0002,,17642.8292
savings,75,5,5,0,100.00,0.0020,0.0020,,16339.1415
savings,79,1,1,0,100.00,0.0012,0.0012,,21832.9515
savings,100,6,6,0,100.00,0.0071,0.0071,,647821.3580
savings,105,1,1,0,100.00,0.0008,0.0008,,4077794.8373
savings,109,1,1,0,100.00,0.0009,0.0009,,2275647.0288
savings,114,1,0,1,0.00,0.0012,,0.0012,
savings,119,1,1,0,100.00,0.0013,0.0013,,3275262.7211
savings,150,5,5,0,100.00,0.0237,0.0237,,49562.0316
savings,200,5,5,0,100.00,0.0376,0.0376,,57661.5490
tabu,1,60,60,0,100.00,0.0002,0.0002,,167.8002
tabu,2,84,72,12,85.71,0.0004,0.0004,0.0000,316.8636
tabu,3,24,24,0,100.00,0.0001,0.0001,,173.8995
tabu,4,12,0,12,0.00,0.0000,,0.0000,
tabu,5,60,60,0,100.00,0.0012,0.0012,,522.5205
tabu,10,60,60,0,100.00,0.0023,0.0023,,990.7271
tabu,15,60,60,0,100.00,0.0156,0.0156,,1677.7422
tabu,20,60,60,0,100.00,0.0402,0.0402,,1906.9121
tabu,30,60,60,0,100.00,0.0849,0.0849,,2923.4321
tabu,31,12,12,0,100.00,0.0759,0.0759,,9957.4413
tabu,36,12,12,0,100.00,0.1663,0.1663,,7823.8465
tabu,44,12,12,0,100.00,0.2062,0.2062,,12276.2190
tabu,50,60,60,0,100.00,0.4566,0.4566,,6174.0387
tabu,53,12,12,0,100.00,0.3212,0.3212,,14951.5080
tabu,59,12,12,0,100.00,0.4642,0.4642,,17562.6933
tabu,75,60,60,0,100.00,1.5505,1.5505,,9324.3837
tabu,79,12,12,0,100.00,1.0292,1.0292,,21300.3294
tabu,100,72,72,0,100.00,3.1008,3.1008,,628621.1859
tabu,105,12,12,0,100.00,2.5754,2.5754,,3775209.2074
tabu,109,12,12,0,100.00,3.4410,3.4410,,1928110.5166
tabu,114,12,0,12,0.00,2.4868,,2.4868,
tabu,119,12,12,0,100.00,1.7993,1.7993,,3275262.7211
tabu,150,60,60,0,100.00,14.5903,14.5903,,22793.1683
tabu,200,60,60,0,100.00,41.4098,41.4098,,34175.6026
