method,N,n_runs,n_feasible,n_infeasible,feasibility_rate_pct,runtime_mean_all,runtime_mean_feasible,runtime_mean_infeasible,cost_mean_feasible
tabu,10,60,60,0,100.00,0.0044,0.0044,,562.8364
tabu,15,60,60,0,100.00,0.0156,0.0156,,729.6791
tabu,20,60,60,0,100.00,0.0224,0.0224,,903.9221
tabu,30,60,60,0,100.00,0.0844,0.0844,,1419.7704
tabu,31,12,12,0,100.00,0.0746,0.0746,,8417.7153
tabu,36,12,12,0,100.00,0.1455,0.1455,,8121.7200
tabu,44,12,12,0,100.00,0.2051,0.2051,,11377.2617
tabu,50,60,60,0,100.00,0.2755,0.2755,,2820.3396
tabu,53,12,12,0,100.00,0.3141,0.3141,,12618.9865
tabu,59,12,12,0,100.00,0.4619,0.4619,,15246.6110
tabu,75,60,60,0,100.00,1.7347,1.7347,,4543.1565
tabu,79,12,12,0,100.00,1.0362,1.0362,,17473.8806
tabu,100,72,72,0,100.00,2.7481,2.7481,,617553.8562
tabu,105,12,12,0,100.00,2.5503,2.5503,,3720964.5810
tabu,109,12,12,0,100.00,2.6395,2.6395,,1898675.9215
tabu,114,12,0,12,0.00,2.4309,,2.4309,
tabu,119,12,12,0,100.00,1.7769,1.7769,,3194120.5237
tabu,150,60,60,0,100.00,7.3825,7.3825,,12113.0181
tabu,200,60,60,0,100.00,26.6093,26.6093,,18677.5496
